Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,KS-Stat
CatBoost,0.8128333333333333,0.6177829099307159,0.4031650339110776,0.48791609667122665,0.7656090375356128,0.39411579064326147
LightGBM,0.8041666666666667,0.5822510822510822,0.4054257724189902,0.47800977343402934,0.7623884648313171,0.3996757979387754
Gradient Boosting,0.8038333333333333,0.577962577962578,0.4189902034664657,0.4858016601135867,0.7551337502828142,0.3834160260380828
XGBoost,0.7958333333333333,0.5485714285714286,0.43406179351921625,0.48464450988641145,0.7546576228525685,0.37970860194956646
Random Forest,0.7873333333333333,0.5201262825572218,0.49660889223813115,0.5080956052428681,0.7527974603096788,0.39194826184057563
AdaBoost,0.7571666666666667,0.4604622871046229,0.5704596834966089,0.5095927297206327,0.7489121637213959,0.3848981893611604
Stacking Classifier,0.7528333333333334,0.4506329113924051,0.5365486058779201,0.48985208118335055,0.7438287676435248,0.36503081483827554
SVM,0.7676666666666667,0.47894406033940917,0.5742275810097965,0.5222755311857437,0.7394672629937635,0.39792303619810193
Extra Trees,0.7848333333333334,0.515,0.46571213262999245,0.4891175306687772,0.7366251732966773,0.36442156524252023
Neural Network (MLP),0.7173333333333334,0.40562659846547316,0.5975885455915599,0.48324192565508833,0.7341925290002324,0.3508992236986159
Voting Classifier,0.6915,0.3748806112702961,0.5915599095704597,0.45893013738672905,0.7219664151563496,0.34055407525570985
Gaussian NB,0.44433333333333336,0.265372924947393,0.8553127354935945,0.4050678087080657,0.7084356879642243,0.3535090954449643
Logistic Regression,0.6595,0.3475298126064736,0.6149208741522231,0.4440816326530612,0.7022007972493785,0.33949957999190783
LDA,0.6646666666666666,0.350109409190372,0.6028636021100227,0.4429678848283499,0.6982037457723029,0.33348013593135767
Ridge Classifier,0.6646666666666666,0.350109409190372,0.6028636021100227,0.4429678848283499,0.6982019718851792,N/A
SGD Classifier,0.6701666666666667,0.35059578368469296,0.5764883195177091,0.4360216585921915,0.6959376856030192,N/A
k-NN,0.6601666666666667,0.34628670120898103,0.6043707611152976,0.4402964589623936,0.6850096539775146,0.28038188887048704
Decision Tree,0.6891666666666667,0.3450460829493088,0.45139412207987945,0.3911198171727065,0.6041498315371652,0.20840706387654648
